time,open,high,low,close,tick_volume,spread,real_volume
2025-11-28 12:55:00,156.277,156.283,156.274,156.276,187.0,22,0.0
2025-11-28 12:56:00,156.276,156.278,156.254,156.266,281.0,23,0.0
2025-11-28 12:57:00,156.265,156.282,156.237,156.257,344.0,32,0.0
2025-11-28 12:58:00,156.255,156.267,156.246,156.258,205.0,34,0.0
2025-11-28 12:59:00,156.258,156.26,156.251,156.253,92.0,35,0.0
2025-11-28 13:00:00,156.252,156.267,156.238,156.246,309.0,38,0.0
2025-11-28 13:01:00,156.246,156.256,156.244,156.253,138.0,38,0.0
2025-11-28 13:02:00,156.253,156.256,156.247,156.247,157.0,40,0.0
2025-11-28 13:03:00,156.248,156.249,156.237,156.241,127.0,41,0.0
2025-11-28 13:04:00,156.242,156.259,156.24,156.258,111.0,39,0.0
2025-11-28 13:05:00,156.258,156.265,156.255,156.256,94.0,38,0.0
2025-11-28 13:06:00,156.255,156.281,156.244,156.275,219.0,37,0.0
2025-11-28 13:07:00,156.28,156.287,156.259,156.263,293.0,34,0.0
2025-11-28 13:08:00,156.264,156.28,156.232,156.263,395.0,36,0.0
2025-11-28 13:09:00,156.26,156.279,156.249,156.262,340.0,39,0.0
2025-11-28 13:10:00,156.261,156.279,156.248,156.248,343.0,34,0.0
2025-11-28 13:11:00,156.246,156.285,156.241,156.282,383.0,21,0.0
2025-11-28 13:12:00,156.281,156.281,156.257,156.27,247.0,29,0.0
2025-11-28 13:13:00,156.271,156.278,156.241,156.248,277.0,26,0.0
2025-11-28 13:14:00,156.247,156.284,156.246,156.273,279.0,29,0.0
2025-11-28 13:15:00,156.269,156.279,156.233,156.277,268.0,30,0.0
2025-11-28 13:16:00,156.278,156.279,156.239,156.243,356.0,27,0.0
2025-11-28 13:17:00,156.244,156.255,156.229,156.253,178.0,32,0.0
2025-11-28 13:18:00,156.253,156.267,156.253,156.263,97.0,30,0.0
2025-11-28 13:19:00,156.264,156.265,156.239,156.242,199.0,27,0.0
2025-11-28 13:20:00,156.242,156.255,156.242,156.255,158.0,31,0.0
2025-11-28 13:21:00,156.254,156.256,156.234,156.243,164.0,29,0.0
2025-11-28 13:22:00,156.245,156.245,156.219,156.229,159.0,27,0.0
2025-11-28 13:23:00,156.23,156.258,156.229,156.24,271.0,28,0.0
2025-11-28 13:24:00,156.241,156.248,156.223,156.226,257.0,26,0.0
2025-11-28 13:25:00,156.229,156.243,156.228,156.235,236.0,27,0.0
2025-11-28 13:26:00,156.235,156.25,156.228,156.232,243.0,23,0.0
2025-11-28 13:27:00,156.233,156.237,156.219,156.231,271.0,28,0.0
2025-11-28 13:28:00,156.232,156.239,156.217,156.229,246.0,25,0.0
2025-11-28 13:29:00,156.231,156.233,156.206,156.216,286.0,28,0.0
2025-11-28 13:30:00,156.215,156.216,156.198,156.199,205.0,31,0.0
2025-11-28 13:31:00,156.198,156.2,156.178,156.188,177.0,30,0.0
2025-11-28 13:32:00,156.187,156.22,156.181,156.218,276.0,28,0.0
2025-11-28 13:33:00,156.218,156.232,156.209,156.209,221.0,28,0.0
2025-11-28 13:34:00,156.208,156.21,156.186,156.197,198.0,29,0.0
2025-11-28 13:35:00,156.198,156.21,156.195,156.205,180.0,33,0.0
2025-11-28 13:36:00,156.206,156.234,156.203,156.218,215.0,28,0.0
2025-11-28 13:37:00,156.218,156.244,156.218,156.232,278.0,29,0.0
2025-11-28 13:38:00,156.231,156.239,156.192,156.196,350.0,25,0.0
2025-11-28 13:39:00,156.197,156.22,156.178,156.218,290.0,27,0.0
2025-11-28 13:40:00,156.218,156.233,156.198,156.231,335.0,24,0.0
2025-11-28 13:41:00,156.231,156.264,156.222,156.255,342.0,26,0.0
2025-11-28 13:42:00,156.26,156.26,156.226,156.237,295.0,26,0.0
2025-11-28 13:43:00,156.238,156.248,156.236,156.244,195.0,24,0.0
2025-11-28 13:44:00,156.244,156.248,156.232,156.244,289.0,21,0.0
2025-11-28 13:45:00,156.242,156.253,156.234,156.248,299.0,21,0.0
2025-11-28 13:46:00,156.248,156.255,156.243,156.251,198.0,25,0.0
2025-11-28 13:47:00,156.25,156.253,156.238,156.239,166.0,27,0.0
2025-11-28 13:48:00,156.24,156.25,156.239,156.25,170.0,27,0.0
2025-11-28 13:49:00,156.249,156.259,156.241,156.242,122.0,27,0.0
2025-11-28 13:50:00,156.243,156.243,156.224,156.235,232.0,25,0.0
2025-11-28 13:51:00,156.234,156.247,156.215,156.217,251.0,25,0.0
2025-11-28 13:52:00,156.216,156.216,156.187,156.188,183.0,28,0.0
2025-11-28 13:53:00,156.188,156.188,156.178,156.179,93.0,28,0.0
2025-11-28 13:54:00,156.178,156.201,156.178,156.186,138.0,29,0.0
2025-11-28 13:55:00,156.186,156.195,156.154,156.155,273.0,26,0.0
2025-11-28 13:56:00,156.159,156.166,156.149,156.161,286.0,25,0.0
2025-11-28 13:57:00,156.164,156.165,156.142,156.146,224.0,26,0.0
2025-11-28 13:58:00,156.147,156.155,156.141,156.153,136.0,24,0.0
2025-11-28 13:59:00,156.152,156.193,156.149,156.192,189.0,27,0.0
2025-11-28 14:00:00,156.193,156.239,156.158,156.239,424.0,21,0.0
2025-11-28 14:01:00,156.223,156.236,156.2,156.205,344.0,21,0.0
2025-11-28 14:02:00,156.204,156.23,156.198,156.21,313.0,21,0.0
2025-11-28 14:03:00,156.21,156.225,156.208,156.214,26.0,27,0.0
2025-11-28 14:04:00,156.218,156.248,156.217,156.221,134.0,23,0.0
2025-11-28 14:05:00,156.221,156.221,156.212,156.216,12.0,26,0.0
2025-11-28 14:06:00,156.216,156.218,156.204,156.208,121.0,25,0.0
2025-11-28 14:07:00,156.208,156.222,156.204,156.213,94.0,23,0.0
2025-11-28 14:08:00,156.209,156.226,156.203,156.216,70.0,21,0.0
2025-11-28 14:09:00,156.214,156.223,156.196,156.204,72.0,22,0.0
2025-11-28 14:10:00,156.204,156.223,156.165,156.171,246.0,21,0.0
2025-11-28 14:11:00,156.17,156.179,156.165,156.173,114.0,26,0.0
2025-11-28 14:12:00,156.172,156.181,156.172,156.18,142.0,27,0.0
2025-11-28 14:13:00,156.182,156.22,156.179,156.213,322.0,26,0.0
2025-11-28 14:14:00,156.209,156.226,156.205,156.217,275.0,27,0.0
2025-11-28 14:15:00,156.221,156.225,156.198,156.202,250.0,23,0.0
2025-11-28 14:16:00,156.202,156.204,156.194,156.198,111.0,22,0.0
2025-11-28 14:17:00,156.196,156.201,156.196,156.197,71.0,24,0.0
2025-11-28 14:18:00,156.196,156.204,156.193,156.196,153.0,23,0.0
2025-11-28 14:19:00,156.195,156.198,156.154,156.154,163.0,22,0.0
2025-11-28 14:20:00,156.154,156.167,156.153,156.158,97.0,21,0.0
